epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,897.528,1.05308,0.53974,0.95523,0.85692,0.74683,0.85761,0.6168,1.43583,0.93712,1.00586,0.000416476,0.000416476,0.000416476
2,1744.53,1.10061,0.57912,0.9735,0.83235,0.79877,0.86048,0.62326,1.46092,1.01574,1.01004,0.000830884,0.000830884,0.000830884
3,2588.81,1.12505,0.60916,0.98331,0.74084,0.6382,0.64121,0.42248,1.47978,1.15011,1.02169,0.00123629,0.00123629,0.00123629
4,3430.82,1.13638,0.61784,0.98928,0.90499,0.70779,0.78647,0.5383,1.46046,1.03375,1.02189,0.00121972,0.00121972,0.00121972
5,4274.25,1.12758,0.61073,0.986,0.73928,0.83293,0.77391,0.54907,1.46442,1.07154,1.02617,0.00119651,0.00119651,0.00119651
6,5114.11,1.12081,0.60119,0.98403,0.83526,0.79627,0.85935,0.60153,1.46419,0.93593,1.02118,0.0011671,0.0011671,0.0011671
7,5953.39,1.12663,0.60137,0.98357,0.91273,0.71401,0.80662,0.58043,1.47333,0.89858,1.02144,0.00113183,0.00113183,0.00113183
8,6798.27,1.09996,0.58098,0.97356,0.91046,0.6433,0.74164,0.5158,1.44156,1.01815,1.01519,0.00109107,0.00109107,0.00109107
9,7639.5,1.09732,0.57663,0.97282,0.73564,0.81927,0.84336,0.60955,1.43742,0.90835,1.00457,0.00104527,0.00104527,0.00104527
10,8480.49,1.09163,0.57084,0.97028,0.88056,0.74098,0.87193,0.6371,1.4511,0.97447,1.01716,0.000994942,0.000994942,0.000994942
11,9322.85,1.07916,0.56203,0.96818,0.91057,0.77738,0.88088,0.63568,1.42584,0.90922,1.00774,0.000940625,0.000940625,0.000940625
12,10164.3,1.06948,0.55342,0.96226,0.92762,0.75389,0.87333,0.63755,1.4315,0.92237,1.00894,0.000882918,0.000882918,0.000882918
13,11007.5,1.05452,0.54735,0.95793,0.7617,0.66304,0.71093,0.49405,1.44146,0.87844,1.01098,0.000822454,0.000822454,0.000822454
14,11849.2,1.04749,0.53723,0.95568,0.72159,0.85204,0.90401,0.66058,1.44013,0.98592,1.01085,0.000759895,0.000759895,0.000759895
15,12691.4,1.03962,0.53117,0.95244,0.90439,0.7382,0.84931,0.6246,1.42184,1.0007,1.0063,0.000695927,0.000695927,0.000695927
16,13543.6,1.03047,0.52338,0.94877,0.9071,0.73405,0.88118,0.62928,1.43272,0.86949,1.01211,0.00063125,0.00063125,0.00063125
17,14389.3,1.01464,0.51404,0.94317,0.9306,0.76841,0.88985,0.65702,1.42703,0.89351,1.01008,0.000566573,0.000566573,0.000566573
18,15231.7,1.00903,0.50699,0.94252,0.9121,0.72289,0.85623,0.62458,1.43799,0.9115,1.01269,0.000502605,0.000502605,0.000502605
19,16076.1,0.99786,0.49911,0.93818,0.81432,0.75011,0.8304,0.59673,1.4368,0.85418,1.01221,0.000440046,0.000440046,0.000440046
20,16924,0.98903,0.49476,0.93522,0.92543,0.72024,0.83687,0.61086,1.44119,0.88831,1.02108,0.000379582,0.000379582,0.000379582
21,17767.6,0.98059,0.48679,0.93317,0.77254,0.73036,0.79805,0.58138,1.44016,0.89474,1.01325,0.000321875,0.000321875,0.000321875
22,18610.4,0.97186,0.48033,0.92901,0.82268,0.75688,0.83201,0.60987,1.44931,0.882,1.01864,0.000267558,0.000267558,0.000267558
23,19427.5,0.93579,0.44537,0.91461,0.59672,0.82376,0.81043,0.58995,1.43703,0.91386,1.01926,0.000217225,0.000217225,0.000217225
24,20243.4,0.927,0.44098,0.91245,0.70821,0.78335,0.8475,0.62414,1.44503,0.9227,1.02048,0.000171429,0.000171429,0.000171429
