epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,900.148,1.05259,0.53527,0.95557,0.92657,0.88393,0.93008,0.68101,1.45361,0.97336,1.01381,0.000416476,0.000416476,0.000416476
2,1634.73,1.10136,0.57686,0.9747,0.83663,0.79431,0.86338,0.63474,1.46031,1.12172,1.01854,0.000830884,0.000830884,0.000830884
3,2361.85,1.12323,0.605,0.98229,0.82329,0.80356,0.85484,0.61554,1.43787,1.00261,1.00945,0.00123629,0.00123629,0.00123629
4,3087.97,1.13959,0.61534,0.98987,0.86569,0.78345,0.86629,0.61634,1.46992,1.10789,1.01994,0.00121972,0.00121972,0.00121972
5,3815.45,1.12994,0.61004,0.9856,0.88049,0.79872,0.89252,0.64221,1.48192,0.96844,1.02139,0.00119651,0.00119651,0.00119651
6,4542.52,1.11991,0.59807,0.98275,0.83521,0.88715,0.90472,0.64815,1.44841,0.9111,1.01783,0.0011671,0.0011671,0.0011671
7,5273.75,1.12839,0.60052,0.9831,0.81063,0.85259,0.89535,0.65803,1.45466,0.84548,1.01719,0.00113183,0.00113183,0.00113183
8,6001.87,1.10046,0.57923,0.97387,0.85426,0.75913,0.84172,0.58044,1.4568,0.9482,1.0194,0.00109107,0.00109107,0.00109107
9,6733.95,1.0969,0.57253,0.97339,0.85437,0.76682,0.90669,0.66258,1.43592,0.96179,1.00293,0.00104527,0.00104527,0.00104527
10,7470.89,1.09381,0.56874,0.97183,0.87492,0.8813,0.91957,0.66603,1.43895,0.87473,1.00976,0.000994942,0.000994942,0.000994942
11,8205.67,1.07752,0.55695,0.9677,0.84275,0.82168,0.90498,0.6646,1.4142,0.82386,1.00487,0.000940625,0.000940625,0.000940625
