epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,761.227,1.05981,1.06245,0.9577,0.92675,0.84864,0.90412,0.66553,1.43993,1.08785,1.00872,0.000416476,0.000416476,0.000416476
2,1496.06,1.10547,1.00323,0.97633,0.89675,0.83557,0.87848,0.65557,1.44479,1.10013,1.01075,0.000830884,0.000830884,0.000830884
3,2232.75,1.13047,1.02553,0.98499,0.78395,0.84949,0.85932,0.60593,1.43743,1.09766,1.00997,0.00123629,0.00123629,0.00123629
4,2967.42,1.14179,1.03052,0.99135,0.80573,0.77865,0.83265,0.58963,1.46794,1.22877,1.02344,0.00121972,0.00121972,0.00121972
5,3701.16,1.13241,1.02599,0.98702,0.84648,0.75664,0.79847,0.56447,1.48864,1.25325,1.03496,0.00119651,0.00119651,0.00119651
6,4435.45,1.12505,1.01606,0.98416,0.84275,0.85399,0.89406,0.64264,1.49028,1.26638,1.03106,0.0011671,0.0011671,0.0011671
7,5171.42,1.12799,1.01404,0.98382,0.91861,0.79252,0.86013,0.63887,1.44782,1.04567,1.01196,0.00113183,0.00113183,0.00113183
8,5908.02,1.10214,0.99901,0.97391,0.85199,0.82174,0.86673,0.62383,1.45624,1.13453,1.02246,0.00109107,0.00109107,0.00109107
9,6646.59,1.09709,0.994,0.97305,0.91388,0.74616,0.88473,0.63735,1.43946,1.05937,1.01409,0.00104527,0.00104527,0.00104527
10,7383.83,1.09417,0.98977,0.97208,0.87609,0.87426,0.89889,0.6639,1.44522,1.0693,1.01626,0.000994942,0.000994942,0.000994942
11,8122.17,1.08096,0.98088,0.96835,0.8564,0.88217,0.92197,0.6739,1.4262,1.06865,1.01046,0.000940625,0.000940625,0.000940625
12,8861.81,1.06961,0.97402,0.96291,0.77976,0.85268,0.88635,0.65706,1.4242,1.17534,1.00568,0.000882918,0.000882918,0.000882918
13,9599.61,1.05556,0.96878,0.95815,0.8436,0.81898,0.90368,0.67355,1.43756,1.13872,1.01737,0.000822454,0.000822454,0.000822454
14,10338.9,1.04817,0.96325,0.95628,0.91297,0.84523,0.90832,0.67453,1.41647,1.07696,1.00443,0.000759895,0.000759895,0.000759895
15,11078.3,1.04018,0.95572,0.95289,0.88685,0.89487,0.90546,0.66072,1.40605,1.04769,1.00238,0.000695927,0.000695927,0.000695927
16,11818.2,1.02976,0.95064,0.94861,0.90277,0.87452,0.90969,0.67371,1.41034,1.06519,1.00828,0.00063125,0.00063125,0.00063125
17,12571.6,1.01608,0.94254,0.94343,0.88805,0.86117,0.90293,0.67501,1.41679,1.0384,1.00902,0.000566573,0.000566573,0.000566573
18,13311.8,1.0084,0.93511,0.94209,0.90541,0.79721,0.87095,0.65322,1.4333,1.04791,1.0158,0.000502605,0.000502605,0.000502605
19,14057.4,0.998,0.93046,0.93793,0.91645,0.86271,0.9139,0.6747,1.42011,1.026,1.01126,0.000440046,0.000440046,0.000440046
20,14798.2,0.99,0.92813,0.93547,0.89258,0.83507,0.89352,0.66665,1.42637,1.0343,1.01661,0.000379582,0.000379582,0.000379582
21,15540.1,0.98076,0.92197,0.93357,0.8866,0.86635,0.89339,0.66181,1.42998,1.07218,1.01526,0.000321875,0.000321875,0.000321875
22,16282.4,0.97142,0.91601,0.92903,0.89801,0.86117,0.90298,0.67556,1.44412,1.07393,1.02014,0.000267558,0.000267558,0.000267558
23,16999.2,0.93673,0.88602,0.91546,0.90814,0.82134,0.88493,0.66727,1.43256,1.08885,1.01725,0.000217225,0.000217225,0.000217225
24,17715.3,0.92603,0.88064,0.9127,0.93396,0.82613,0.90269,0.68041,1.42927,1.10038,1.01744,0.000171429,0.000171429,0.000171429
25,18433.1,0.92155,0.87731,0.91027,0.93534,0.83906,0.90668,0.68662,1.44426,1.08891,1.02352,0.000130671,0.000130671,0.000130671
26,19151.8,0.91122,0.87461,0.9066,0.93341,0.82791,0.88932,0.66703,1.45251,1.10389,1.02572,9.53968e-05,9.53968e-05,9.53968e-05
27,19871.1,0.90879,0.87348,0.9062,0.92126,0.81343,0.88931,0.66857,1.443,1.09381,1.02227,6.59937e-05,6.59937e-05,6.59937e-05
28,20588.9,0.89908,0.86899,0.90462,0.92783,0.81335,0.88214,0.66298,1.44087,1.08852,1.02112,4.27838e-05,4.27838e-05,4.27838e-05
29,21309.5,0.90063,0.86941,0.90321,0.93327,0.82373,0.8839,0.66384,1.44119,1.09554,1.02112,2.60212e-05,2.60212e-05,2.60212e-05
30,22030,0.89867,0.86798,0.90276,0.93401,0.82043,0.87282,0.65472,1.44211,1.10549,1.0216,1.58896e-05,1.58896e-05,1.58896e-05
