epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1300.93,1.0022,0.50746,0.94278,0.92443,0.88615,0.93431,0.69339,1.44318,0.85301,1.00947,0.00999671,0.00333224,0.00999671,0.00333224,0.00999671,0.00333224,0.00999671,0.00333224
2,2350.82,0.98516,0.50856,0.93761,0.91034,0.87896,0.90841,0.67127,1.45895,0.9546,1.01019,0.0199425,0.0066475,0.0199425,0.0066475,0.0199425,0.0066475,0.0199425,0.0066475
3,3385.5,1.00435,0.52735,0.94205,0.76539,0.82834,0.89965,0.66129,1.44934,0.98489,1.01436,0.0296722,0.00989075,0.0296722,0.00989075,0.0296722,0.00989075,0.0296722,0.00989075
4,4401.15,1.03687,0.56133,0.95513,0.68291,0.76815,0.76003,0.53084,1.4743,0.93131,1.02237,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
5,5413.24,1.0256,0.55456,0.95162,0.78859,0.75184,0.82492,0.59569,1.49287,1.11029,1.02063,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
6,6418.81,1.01549,0.54949,0.9489,0.89385,0.8787,0.91937,0.65283,1.51455,0.99616,1.03356,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
7,7428.49,1.00149,0.5416,0.94702,0.86087,0.75028,0.85736,0.62783,1.44981,0.97259,1.01966,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
8,8430.32,0.99382,0.5353,0.94238,0.87056,0.8032,0.84291,0.61544,1.4725,0.96616,1.02487,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
9,9393.75,0.98311,0.52878,0.93866,0.86033,0.82623,0.88705,0.64822,1.44104,0.95479,1.0105,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
10,10362,0.96451,0.51717,0.93486,0.85058,0.83234,0.87383,0.63854,1.47493,0.97215,1.02014,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
11,11334,0.95659,0.51128,0.93353,0.91134,0.7483,0.89635,0.64889,1.48273,0.99105,1.0255,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
