epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,693.484,1.68708,3.10778,0.00507,0.77869,0.26086,0.29841,0.1433,1.65878,2.79519,0.00401,0.000416476,0.000416476,0.000416476
2,1347.41,1.69091,1.66671,0.00511,0.55049,0.37293,0.43488,0.21602,1.63966,1.90101,0.00382,0.000830884,0.000830884,0.000830884
3,1999.92,1.68252,1.52063,0.00512,0.46323,0.48901,0.54929,0.26578,1.59241,1.67042,0.00378,0.00123629,0.00123629,0.00123629
4,2651.35,1.66823,1.41628,0.00509,0.85904,0.33708,0.36561,0.18156,1.70187,1.52843,0.00411,0.00121972,0.00121972,0.00121972
5,3302.6,1.65471,1.34551,0.00499,0.86957,0.35598,0.57184,0.32852,1.64459,1.58188,0.00393,0.00119651,0.00119651,0.00119651
6,3955.89,1.63651,1.28015,0.00489,0.44501,0.54492,0.57223,0.34371,1.66403,1.40055,0.00384,0.0011671,0.0011671,0.0011671
7,4609.44,1.62887,1.24056,0.00476,0.49093,0.58794,0.57361,0.34375,1.6522,1.35818,0.00385,0.00113183,0.00113183,0.00113183
8,5260.97,1.59594,1.16988,0.00466,0.61277,0.54782,0.66165,0.41819,1.70485,1.1454,0.00404,0.00109107,0.00109107,0.00109107
9,5915.06,1.5835,1.13139,0.00462,0.58264,0.63726,0.68943,0.42649,1.65561,1.11371,0.00392,0.00104527,0.00104527,0.00104527
10,6567.5,1.57178,1.10464,0.00454,0.53002,0.71357,0.69128,0.44165,1.64683,1.04628,0.00384,0.000994942,0.000994942,0.000994942
11,7221.78,1.55909,1.06305,0.0045,0.61731,0.60955,0.66395,0.40423,1.64768,1.11474,0.00382,0.000940625,0.000940625,0.000940625
12,7874.92,1.54643,1.05137,0.0044,0.71362,0.67425,0.72635,0.46506,1.62199,1.12354,0.00375,0.000882918,0.000882918,0.000882918
13,8530.57,1.53535,1.01396,0.00437,0.68155,0.59047,0.68523,0.42149,1.62003,1.03958,0.00375,0.000822454,0.000822454,0.000822454
14,9184.29,1.51727,0.98387,0.00429,0.56658,0.80733,0.77627,0.49528,1.61256,1.03756,0.00377,0.000759895,0.000759895,0.000759895
15,9836.73,1.5098,0.96137,0.00428,0.74533,0.6921,0.77007,0.51091,1.60098,0.92908,0.00369,0.000695927,0.000695927,0.000695927
16,10490.5,1.50312,0.94623,0.0042,0.80333,0.73338,0.77825,0.48751,1.62292,0.93664,0.00376,0.00063125,0.00063125,0.00063125
17,11148.2,1.48467,0.9171,0.00416,0.72855,0.7422,0.81455,0.54384,1.61139,0.90148,0.00373,0.000566573,0.000566573,0.000566573
18,11802.3,1.473,0.89643,0.0041,0.81626,0.72822,0.7895,0.5152,1.61233,0.91152,0.00373,0.000502605,0.000502605,0.000502605
19,12454.7,1.45826,0.8709,0.00403,0.84228,0.68947,0.76947,0.48543,1.62008,0.89654,0.00373,0.000440046,0.000440046,0.000440046
20,13108.1,1.45587,0.86253,0.00402,0.81664,0.69415,0.79644,0.51673,1.59896,0.88979,0.00366,0.000379582,0.000379582,0.000379582
21,13763,1.44461,0.84359,0.00396,0.84403,0.70812,0.82518,0.54657,1.59662,0.87754,0.00365,0.000321875,0.000321875,0.000321875
22,14416,1.43108,0.82763,0.00391,0.79236,0.71784,0.8258,0.53519,1.6138,0.88989,0.0037,0.000267558,0.000267558,0.000267558
23,15057.4,1.38654,0.74767,0.00387,0.79412,0.71638,0.81363,0.5347,1.59565,0.85653,0.00365,0.000217225,0.000217225,0.000217225
