epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,408.926,1.53115,3.55097,0.00575,0.70153,0.22732,0.19171,0.08087,1.75403,5.24186,0.00416,0.000416303,0.000416303,0.000416303
2,786.714,1.54278,1.71339,0.0058,0.60859,0.48413,0.43419,0.22426,1.72877,2.46917,0.00418,0.000830711,0.000830711,0.000830711
3,1170.04,1.5815,1.46443,0.00609,0.23389,0.31842,0.28336,0.13787,1.81288,2.42328,0.00423,0.00123612,0.00123612,0.00123612
4,1526.47,1.55213,1.31496,0.00593,0.41331,0.42218,0.46855,0.22688,1.80539,2.06408,0.00428,0.00121972,0.00121972,0.00121972
5,1882.18,1.52928,1.24062,0.00585,0.42345,0.47608,0.4583,0.24675,1.94381,2.28517,0.00461,0.00119651,0.00119651,0.00119651
6,2238.78,1.50459,1.17232,0.0057,0.38899,0.34253,0.37522,0.17899,1.76171,1.80449,0.0042,0.0011671,0.0011671,0.0011671
7,2594.44,1.50853,1.14741,0.00559,0.34913,0.3905,0.35744,0.17638,1.75952,1.97668,0.00414,0.00113183,0.00113183,0.00113183
8,2950.63,1.47736,1.09347,0.00547,0.81665,0.28613,0.31456,0.17397,1.75916,1.89676,0.00404,0.00109107,0.00109107,0.00109107
9,3306.54,1.47481,1.06106,0.00544,0.36202,0.40373,0.47626,0.24724,1.75213,1.6069,0.00418,0.00104527,0.00104527,0.00104527
10,3665.19,1.45018,1.02498,0.0053,0.51679,0.47411,0.55982,0.35048,1.80439,1.74154,0.00415,0.000994942,0.000994942,0.000994942
11,4029.4,1.43846,0.99225,0.00521,0.53467,0.57095,0.60774,0.3655,1.81492,1.67742,0.00424,0.000940625,0.000940625,0.000940625
12,4389.89,1.414,0.94037,0.0051,0.55355,0.63965,0.60482,0.35775,1.787,1.56556,0.00419,0.000882918,0.000882918,0.000882918
13,4745.81,1.4135,0.93115,0.005,0.65513,0.52802,0.58729,0.37147,1.73256,1.45884,0.00407,0.000822454,0.000822454,0.000822454
14,5101.65,1.39929,0.90765,0.00497,0.58233,0.69264,0.69169,0.44144,1.72009,1.41923,0.00399,0.000759895,0.000759895,0.000759895
15,5459.36,1.3778,0.86645,0.0049,0.55894,0.63891,0.63725,0.41591,1.72961,1.47722,0.00397,0.000695927,0.000695927,0.000695927
16,5816.11,1.36106,0.84066,0.00485,0.63572,0.67552,0.67444,0.44679,1.76302,1.46657,0.00406,0.00063125,0.00063125,0.00063125
17,6175.2,1.3478,0.82502,0.00474,0.64758,0.75583,0.70767,0.45224,1.74275,1.34465,0.00405,0.000566573,0.000566573,0.000566573
18,6533.37,1.33002,0.80648,0.0047,0.57966,0.61806,0.65315,0.42204,1.7326,1.52224,0.00396,0.000502605,0.000502605,0.000502605
19,6889.61,1.32418,0.79313,0.00461,0.61746,0.75626,0.70019,0.45702,1.74021,1.34816,0.00401,0.000440046,0.000440046,0.000440046
20,7247.56,1.30994,0.77093,0.00457,0.66431,0.76452,0.73368,0.47769,1.72527,1.37835,0.00398,0.000379582,0.000379582,0.000379582
21,7603.47,1.30532,0.75845,0.00449,0.67103,0.75615,0.72567,0.47966,1.72937,1.35541,0.00394,0.000321875,0.000321875,0.000321875
22,7957.02,1.28474,0.74226,0.0045,0.6426,0.71839,0.70094,0.46829,1.72641,1.34139,0.00394,0.000267558,0.000267558,0.000267558
23,8302.46,1.24248,0.65405,0.00442,0.72586,0.7145,0.74825,0.50501,1.73114,1.32138,0.00397,0.000217225,0.000217225,0.000217225
