epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6519,1.02182,0.50247,0.94056,0.91136,0.85596,0.93663,0.69693,1.38674,0.77476,0.98915,0.000413333,0.000413333,0.000413333
2,153.855,0.94215,0.47761,0.91513,0.88997,0.88791,0.9328,0.69765,1.4376,0.94153,1.00838,0.000829949,0.000829949,0.000829949
3,223.854,0.90195,0.46267,0.90698,0.85844,0.85577,0.90274,0.66925,1.42926,0.8403,1.02128,0.00124636,0.00124636,0.00124636
4,292.782,0.8543,0.44901,0.89389,0.9291,0.86933,0.91882,0.67908,1.44546,0.99291,1.01599,0.00124931,0.00124931,0.00124931
5,362.162,0.80837,0.43633,0.88122,0.86951,0.85816,0.89753,0.63646,1.44115,0.94978,1.02045,0.00124878,0.00124878,0.00124878
6,431.723,0.76491,0.41358,0.87014,0.89094,0.80014,0.86067,0.61551,1.43523,1.08649,1.02622,0.00124809,0.00124809,0.00124809
7,504.708,0.73053,0.40364,0.85923,0.84396,0.81683,0.88702,0.62163,1.47971,1.07913,1.04828,0.00124725,0.00124725,0.00124725
8,583.642,0.70764,0.40123,0.85488,0.86165,0.87958,0.87588,0.59631,1.49197,1.07735,1.05857,0.00124626,0.00124626,0.00124626
9,657.23,0.67561,0.38352,0.84794,0.88973,0.83685,0.89782,0.63527,1.45378,0.96655,1.04277,0.00124512,0.00124512,0.00124512
10,728.755,0.63796,0.36588,0.83905,0.85806,0.85246,0.89813,0.6449,1.489,1.02858,1.05893,0.00124383,0.00124383,0.00124383
11,797.707,0.63273,0.36345,0.83549,0.8461,0.86891,0.89337,0.63327,1.49761,1.08127,1.07313,0.00124238,0.00124238,0.00124238
12,866.534,0.60193,0.35229,0.8298,0.90025,0.8769,0.9138,0.64824,1.49171,1.12817,1.06242,0.00124079,0.00124079,0.00124079
13,935.474,0.58132,0.344,0.82488,0.90728,0.77371,0.85767,0.60366,1.4666,1.05108,1.06051,0.00123904,0.00123904,0.00123904
14,1004.28,0.5648,0.33842,0.82214,0.90329,0.84908,0.90646,0.6317,1.47463,1.03543,1.06627,0.00123714,0.00123714,0.00123714
15,1073.16,0.55942,0.33387,0.81899,0.86007,0.86352,0.89048,0.65557,1.49078,1.1478,1.07381,0.0012351,0.0012351,0.0012351
16,1142.04,0.54229,0.32519,0.81512,0.86677,0.82959,0.87861,0.62724,1.49624,1.11298,1.07941,0.0012329,0.0012329,0.0012329
17,1211.69,0.50122,0.30895,0.81186,0.8693,0.77867,0.84735,0.60503,1.4722,1.09108,1.06626,0.00123056,0.00123056,0.00123056
18,1280.49,0.5007,0.30943,0.80941,0.85658,0.86023,0.88439,0.62832,1.4596,1.05762,1.06655,0.00122807,0.00122807,0.00122807
19,1349.45,0.47838,0.30042,0.80522,0.88966,0.82807,0.88581,0.62417,1.48326,1.03854,1.078,0.00122543,0.00122543,0.00122543
20,1418.93,0.48245,0.29969,0.806,0.84509,0.89396,0.89607,0.64048,1.48691,1.07282,1.07762,0.00122265,0.00122265,0.00122265
21,1488.51,0.46326,0.29224,0.80414,0.85115,0.84316,0.88404,0.63748,1.48358,0.99839,1.08028,0.00121972,0.00121972,0.00121972
22,1557.88,0.4557,0.28763,0.80219,0.86173,0.81719,0.86391,0.61406,1.50339,1.15727,1.09534,0.00121664,0.00121664,0.00121664
23,1626.92,0.45478,0.29054,0.80112,0.80665,0.86699,0.87659,0.61203,1.50996,1.15511,1.09543,0.00121342,0.00121342,0.00121342
24,1695.87,0.42617,0.27681,0.79677,0.85107,0.85273,0.87023,0.63226,1.4755,1.13167,1.08649,0.00121006,0.00121006,0.00121006
25,1764.88,0.409,0.26789,0.79465,0.86141,0.87273,0.89795,0.63995,1.46244,1.16713,1.07604,0.00120655,0.00120655,0.00120655
26,1834.3,0.40998,0.26725,0.79522,0.86078,0.86777,0.89626,0.64921,1.48808,1.06944,1.08606,0.0012029,0.0012029,0.0012029
27,1903.38,0.41618,0.26674,0.7935,0.88725,0.8489,0.8913,0.63962,1.48132,1.14172,1.08636,0.00119911,0.00119911,0.00119911
28,1972.65,0.39584,0.25927,0.79197,0.89079,0.81422,0.85396,0.61485,1.47964,1.08796,1.08837,0.00119518,0.00119518,0.00119518
29,2042.26,0.4008,0.26059,0.79212,0.87315,0.85831,0.8713,0.63184,1.46745,1.26562,1.08259,0.00119111,0.00119111,0.00119111
30,2111.85,0.38882,0.25497,0.79039,0.88303,0.86057,0.88281,0.64576,1.47003,1.12672,1.08621,0.0011869,0.0011869,0.0011869
31,2181.01,0.37972,0.24902,0.78966,0.85541,0.87713,0.88211,0.64661,1.46627,1.43671,1.08959,0.00118256,0.00118256,0.00118256
32,2257.53,0.37629,0.24838,0.78951,0.89001,0.85578,0.88768,0.64691,1.47589,1.46328,1.09154,0.00117808,0.00117808,0.00117808
33,2326.55,0.37116,0.24569,0.78681,0.85983,0.88936,0.89721,0.65401,1.48765,1.17378,1.09727,0.00117346,0.00117346,0.00117346
34,2398.58,0.37423,0.24499,0.78908,0.86111,0.89422,0.89564,0.65295,1.48515,1.25952,1.09516,0.00116872,0.00116872,0.00116872
35,2467.87,0.36196,0.24033,0.78725,0.86443,0.86934,0.88594,0.63871,1.46804,1.13596,1.08856,0.00116383,0.00116383,0.00116383
36,2541.3,0.35908,0.23901,0.78677,0.90362,0.83301,0.87334,0.62607,1.48965,1.31432,1.09218,0.00115882,0.00115882,0.00115882
37,2609.95,0.34264,0.23096,0.7841,0.86015,0.83062,0.88118,0.62561,1.4923,1.24685,1.10502,0.00115368,0.00115368,0.00115368
38,2678.74,0.34491,0.23238,0.78431,0.87837,0.84474,0.86965,0.62812,1.47064,1.27607,1.09111,0.00114841,0.00114841,0.00114841
39,2746.34,0.34374,0.23097,0.78489,0.85997,0.89692,0.89171,0.65606,1.48177,1.20549,1.09623,0.00114301,0.00114301,0.00114301
40,2814.44,0.33134,0.22473,0.78367,0.88329,0.86767,0.89623,0.64747,1.47704,1.35766,1.09012,0.00113748,0.00113748,0.00113748
41,2881.8,0.32738,0.22171,0.78423,0.89011,0.85346,0.89236,0.65263,1.46466,1.21992,1.09362,0.00113183,0.00113183,0.00113183
42,2949.54,0.3246,0.21996,0.78246,0.88182,0.84614,0.88875,0.64357,1.48687,1.16161,1.09827,0.00112605,0.00112605,0.00112605
43,3023.19,0.31616,0.21479,0.78254,0.87716,0.89104,0.89393,0.65214,1.4654,1.23663,1.09463,0.00112016,0.00112016,0.00112016
44,3102.14,0.31791,0.21682,0.78267,0.8575,0.90272,0.89621,0.6552,1.45943,1.28026,1.09625,0.00111414,0.00111414,0.00111414
45,3175.02,0.30917,0.21121,0.78046,0.9029,0.88128,0.89732,0.65451,1.47783,1.24739,1.10307,0.00110801,0.00110801,0.00110801
46,3246.25,0.29729,0.20604,0.77943,0.89479,0.86523,0.89741,0.65544,1.46374,1.39986,1.09242,0.00110175,0.00110175,0.00110175
