epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.497,1.04999,0.53298,0.95553,0.92386,0.87832,0.92974,0.67411,1.4281,0.94244,1.00851,0.000416476,0.000416476,0.000416476
2,1435.61,1.09926,0.57337,0.9739,0.91423,0.86483,0.92906,0.68603,1.42797,0.96732,1.00595,0.000830884,0.000830884,0.000830884
3,2135.7,1.12496,0.60165,0.98528,0.79996,0.8588,0.84785,0.60582,1.47651,0.91754,1.0233,0.00123629,0.00123629,0.00123629
4,2835.24,1.13822,0.61492,0.99007,0.81709,0.76669,0.8375,0.58869,1.47069,1.02139,1.02612,0.00121972,0.00121972,0.00121972
5,3551.48,1.13238,0.60613,0.98646,0.90385,0.84305,0.9048,0.64692,1.45225,0.98359,1.02239,0.00119651,0.00119651,0.00119651
6,4255.55,1.11947,0.59663,0.98308,0.90833,0.90124,0.93344,0.69186,1.46043,0.9208,1.02035,0.0011671,0.0011671,0.0011671
7,4957.87,1.1199,0.59378,0.98057,0.91054,0.90161,0.93035,0.684,1.45202,0.91461,1.01047,0.00113183,0.00113183,0.00113183
8,5659.43,1.10504,0.58197,0.97566,0.91756,0.87042,0.91552,0.67968,1.44026,1.0092,1.01239,0.00109107,0.00109107,0.00109107
9,6359.98,1.09699,0.57481,0.97238,0.908,0.88189,0.93541,0.69891,1.41938,0.96086,1.00579,0.00104527,0.00104527,0.00104527
10,7060.51,1.09157,0.57066,0.97211,0.91709,0.8428,0.89587,0.65435,1.45243,0.90667,1.02184,0.000994942,0.000994942,0.000994942
11,7760.5,1.07983,0.56416,0.96781,0.88513,0.88461,0.91963,0.68327,1.44242,1.01474,1.01902,0.000940625,0.000940625,0.000940625
12,8462.09,1.07309,0.55211,0.96345,0.92793,0.82784,0.87466,0.64645,1.42014,0.98846,1.01094,0.000882918,0.000882918,0.000882918
13,9164.11,1.06413,0.54844,0.95996,0.9112,0.87414,0.92132,0.68485,1.43502,0.9094,1.00608,0.000822454,0.000822454,0.000822454
14,9863.97,1.05425,0.53919,0.95691,0.91345,0.85486,0.93401,0.69749,1.46706,0.93675,1.0221,0.000759895,0.000759895,0.000759895
15,10562.9,1.04346,0.5296,0.9539,0.89001,0.86806,0.91289,0.68802,1.47934,0.94116,1.03477,0.000695927,0.000695927,0.000695927
16,11260.9,1.02899,0.52307,0.94956,0.87302,0.87682,0.9252,0.69179,1.4657,0.90105,1.03176,0.00063125,0.00063125,0.00063125
17,11960.8,1.02247,0.51283,0.94538,0.91657,0.90764,0.93417,0.68606,1.43797,0.91532,1.01639,0.000566573,0.000566573,0.000566573
18,12660.6,1.01186,0.50705,0.94248,0.92507,0.84126,0.90391,0.67427,1.40812,0.8451,1.0059,0.000502605,0.000502605,0.000502605
19,13359.9,1.00017,0.49951,0.94023,0.91718,0.84217,0.91864,0.67725,1.4523,0.90769,1.02412,0.000440046,0.000440046,0.000440046
