epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,917.584,1.05172,0.53354,0.95524,0.89886,0.82775,0.92078,0.66647,1.43757,0.85831,1.01201,0.000416476,0.000416476,0.000416476
2,1779.43,1.09015,0.56923,0.97115,0.89986,0.80318,0.86936,0.62724,1.46392,1.06382,1.02053,0.000830884,0.000830884,0.000830884
3,2638.33,1.12699,0.60719,0.98566,0.88297,0.77632,0.89204,0.63355,1.44435,0.95373,1.01221,0.00123629,0.00123629,0.00123629
4,3489.55,1.14164,0.61747,0.98934,0.81764,0.7648,0.81234,0.5544,1.47766,1.09618,1.0203,0.00121972,0.00121972,0.00121972
5,4212.01,1.13621,0.61075,0.98807,0.84168,0.84461,0.88495,0.63209,1.46523,1.01914,1.02586,0.00119651,0.00119651,0.00119651
6,4879.16,1.12205,0.59885,0.98286,0.82825,0.85792,0.88415,0.62385,1.45915,0.98007,1.02201,0.0011671,0.0011671,0.0011671
7,5549.34,1.11726,0.59232,0.98062,0.91857,0.87873,0.9269,0.65018,1.44997,0.98004,1.01667,0.00113183,0.00113183,0.00113183
8,6219.09,1.11315,0.5856,0.97711,0.91375,0.85951,0.91529,0.65738,1.4465,0.95128,1.01825,0.00109107,0.00109107,0.00109107
9,6889.81,1.09976,0.5781,0.97416,0.91713,0.84638,0.927,0.68531,1.40571,0.97901,1.00093,0.00104527,0.00104527,0.00104527
10,7561.05,1.08604,0.56851,0.9686,0.77614,0.87194,0.87481,0.63761,1.47418,0.94949,1.01933,0.000994942,0.000994942,0.000994942
11,8231.93,1.07478,0.55689,0.96454,0.9096,0.9036,0.93986,0.69209,1.43614,0.86824,1.01707,0.000940625,0.000940625,0.000940625
12,8903.13,1.06974,0.55072,0.96368,0.90979,0.88788,0.93494,0.69482,1.42492,0.89457,1.01341,0.000882918,0.000882918,0.000882918
13,9572.34,1.06278,0.54331,0.95875,0.83973,0.79541,0.8678,0.63475,1.45366,0.9257,1.02471,0.000822454,0.000822454,0.000822454
14,10245,1.05121,0.53306,0.95571,0.84136,0.8473,0.89132,0.6572,1.44033,0.98362,1.02105,0.000759895,0.000759895,0.000759895
15,10917,1.0379,0.52797,0.95215,0.83765,0.79481,0.84945,0.62318,1.4543,0.98965,1.02558,0.000695927,0.000695927,0.000695927
16,11588.4,1.03119,0.51999,0.94945,0.88783,0.8828,0.93225,0.69171,1.43497,0.93581,1.0185,0.00063125,0.00063125,0.00063125
17,12259.6,1.02624,0.5131,0.94736,0.85232,0.8287,0.91464,0.67797,1.43818,0.90475,1.01813,0.000566573,0.000566573,0.000566573
18,12936.3,1.00721,0.50487,0.94186,0.90789,0.86655,0.93322,0.68888,1.43276,0.88988,1.0172,0.000502605,0.000502605,0.000502605
19,13606.9,1.00059,0.49744,0.9373,0.88996,0.89118,0.93108,0.6976,1.44656,0.91394,1.02238,0.000440046,0.000440046,0.000440046
20,14279.2,0.99103,0.49301,0.93555,0.91496,0.8547,0.92586,0.68902,1.44681,0.93592,1.02193,0.000379582,0.000379582,0.000379582
21,14949.2,0.97777,0.48543,0.93194,0.90203,0.86607,0.92362,0.68703,1.4275,0.88293,1.01223,0.000321875,0.000321875,0.000321875
22,15619.6,0.96699,0.47821,0.92802,0.92442,0.84219,0.9246,0.69079,1.43784,0.96707,1.01557,0.000267558,0.000267558,0.000267558
23,16269.9,0.93451,0.44266,0.91521,0.92624,0.85259,0.9262,0.69113,1.43553,0.95006,1.01858,0.000217225,0.000217225,0.000217225
24,16919.9,0.92861,0.43938,0.91126,0.92325,0.84707,0.93155,0.69325,1.45044,0.9487,1.02447,0.000171429,0.000171429,0.000171429
25,17568.9,0.92164,0.4342,0.91109,0.92927,0.84845,0.93527,0.70108,1.45195,0.94505,1.02533,0.000130671,0.000130671,0.000130671
26,18218.7,0.91189,0.42913,0.9071,0.92239,0.85262,0.93401,0.69861,1.44665,0.93576,1.02135,9.53968e-05,9.53968e-05,9.53968e-05
27,18868,0.90733,0.4281,0.90514,0.91923,0.84957,0.92349,0.68562,1.44608,0.92764,1.02337,6.59937e-05,6.59937e-05,6.59937e-05
28,19518.1,0.90154,0.42233,0.90452,0.9218,0.84489,0.92669,0.68982,1.44571,0.91796,1.02494,4.27838e-05,4.27838e-05,4.27838e-05
29,20167.9,0.90167,0.42416,0.90494,0.90862,0.86143,0.9267,0.69007,1.45181,0.92959,1.02671,2.60212e-05,2.60212e-05,2.60212e-05
30,20817.6,0.8993,0.42199,0.90324,0.90274,0.86585,0.92513,0.68713,1.45611,0.93597,1.02774,1.58896e-05,1.58896e-05,1.58896e-05
