epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,774.567,nan,nan,nan,0,0,0,0,nan,nan,nan,0.1,0.1,0.1
2,1557.54,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0997288,0.0997288,0.0997288
3,3036.79,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0989183,0.0989183,0.0989183
4,4446.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0975773,0.0975773,0.0975773
5,5864.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0957205,0.0957205,0.0957205
6,6575.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0933683,0.0933683,0.0933683
7,7989.84,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0905463,0.0905463,0.0905463
8,8686.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0872857,0.0872857,0.0872857
9,10070.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.083622,0.083622,0.083622
10,10769.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0795954,0.0795954,0.0795954
11,12152.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.07525,0.07525,0.07525
12,13533.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0706335,0.0706335,0.0706335
13,14917.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0657963,0.0657963,0.0657963
14,16304.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0607916,0.0607916,0.0607916
15,17691.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0556742,0.0556742,0.0556742
16,19077.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0505,0.0505,0.0505
17,20478.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0453258,0.0453258,0.0453258
18,21866.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0402084,0.0402084,0.0402084
19,23248.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0352037,0.0352037,0.0352037
20,24632.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0303665,0.0303665,0.0303665
21,26013.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.02575,0.02575,0.02575
22,27393.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0214046,0.0214046,0.0214046
23,28727.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.017378,0.017378,0.017378
24,30062.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0137143,0.0137143,0.0137143
25,31396.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0104537,0.0104537,0.0104537
26,32069.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00763174,0.00763174,0.00763174
27,33404.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0052795,0.0052795,0.0052795
28,34746.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0034227,0.0034227,0.0034227
29,36078.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00208169,0.00208169,0.00208169
30,37428.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00127117,0.00127117,0.00127117
