epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1617.97,2.0565,2.1082,1.7278,0.68205,0.23577,0.17225,0.07827,1.83093,8.36861,1.26472,0.0125,0.0125,0.0125
2,2347.23,1.79015,1.58201,1.53639,0.79308,0.25699,0.33076,0.15922,1.79545,3.77609,1.23599,0.0124661,0.0124661,0.0124661
3,3082.45,1.69116,1.4121,1.47719,0.72618,0.54465,0.53121,0.28952,1.77616,4.99741,1.23496,0.0123648,0.0123648,0.0123648
4,3816.72,1.6366,1.32566,1.44696,0.44967,0.51144,0.54045,0.30081,nan,nan,nan,0.0121972,0.0121972,0.0121972
5,4550.55,1.59008,1.26653,1.41415,0.38604,0.43118,0.48528,0.25916,nan,nan,nan,0.0119651,0.0119651,0.0119651
6,5278.59,1.56124,1.21258,1.39735,0.50877,0.69202,0.60749,0.3938,1.82524,4.56797,1.25394,0.011671,0.011671,0.011671
7,6008.63,1.54528,1.1707,1.37496,0.86425,0.29941,0.40568,0.22002,1.67399,2.09167,1.19262,0.0113183,0.0113183,0.0113183
8,6740.07,1.49947,1.11678,1.34956,0.72504,0.50442,0.5409,0.31878,nan,nan,nan,0.0109107,0.0109107,0.0109107
9,7472.13,1.49161,1.08834,1.34573,0.54218,0.40948,0.54222,0.27264,nan,nan,nan,0.0104527,0.0104527,0.0104527
10,8196.85,1.4729,1.06413,1.33483,0.43077,0.49819,0.56835,0.34643,1.63457,1.85967,1.17443,0.00994942,0.00994942,0.00994942
11,8919.73,1.45905,1.03798,1.32737,0.52831,0.54742,0.61043,0.36365,1.64947,2.24443,1.17667,0.00940625,0.00940625,0.00940625
12,9645.88,1.43986,1.01543,1.30731,0.37962,0.4907,0.5776,0.32295,1.65896,1.62122,1.18763,0.00882918,0.00882918,0.00882918
13,10375.3,1.42148,0.99375,1.30109,0.43245,0.63181,0.61193,0.37555,1.60746,1.72966,1.16156,0.00822454,0.00822454,0.00822454
14,11104.4,1.41025,0.96818,1.29137,0.6352,0.36133,0.49088,0.28425,1.5719,1.7565,1.14846,0.00759895,0.00759895,0.00759895
15,11832.3,1.40086,0.95621,1.28685,0.61559,0.57852,0.63902,0.38478,1.55175,1.8896,1.13785,0.00695927,0.00695927,0.00695927
16,12560.1,1.39272,0.94112,1.27817,0.5306,0.51916,0.58874,0.3445,1.56163,1.55457,1.13964,0.0063125,0.0063125,0.0063125
