epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.723,1.87392,0.83161,1.30054,0.89254,0.84748,0.90205,0.62902,1.49861,0.98292,1.03236,0.000416381,0.000416381,0.000416381
2,939.248,1.79891,1.03052,1.25082,0.83548,0.84553,0.83866,0.57886,1.55778,1.36303,1.0462,0.000830789,0.000830789,0.000830789
3,1395.95,1.75665,1.14066,1.22649,0.85434,0.78883,0.85648,0.55002,1.60079,1.34517,1.06595,0.0012362,0.0012362,0.0012362
4,1851.4,1.75027,1.17235,1.21675,0.8426,0.85961,0.86773,0.55162,1.5968,2.00298,1.07083,0.00121972,0.00121972,0.00121972
5,2306.91,1.73868,1.17075,1.21504,0.89261,0.82183,0.89724,0.58164,1.53602,1.23873,1.04609,0.00119651,0.00119651,0.00119651
6,2762.31,1.72014,1.17228,1.20531,0.67468,0.75646,0.74283,0.45728,1.5861,1.21262,1.06312,0.0011671,0.0011671,0.0011671
7,3217.49,1.71631,1.1671,1.2027,0.75617,0.77818,0.77829,0.49244,1.5968,1.22642,1.06271,0.00113183,0.00113183,0.00113183
8,3672.92,1.70158,1.16299,1.19632,0.67153,0.7404,0.73845,0.46921,1.60147,1.1572,1.05935,0.00109107,0.00109107,0.00109107
9,4128.74,1.69168,1.15779,1.19045,0.72399,0.79138,0.78118,0.49679,1.61239,1.36865,1.06902,0.00104527,0.00104527,0.00104527
10,4584.72,1.69272,1.15095,1.18924,0.66477,0.79236,0.72732,0.45351,1.59736,1.24026,1.0615,0.000994942,0.000994942,0.000994942
11,5040.73,1.67549,1.14818,1.18605,0.86657,0.79598,0.81721,0.50958,1.5686,1.14537,1.0566,0.000940625,0.000940625,0.000940625
