epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,844.583,1.18932,0.87698,1.00666,0.84569,0.7588,0.797,0.57068,1.4647,0.87545,1.01793,0.000416476,0.000416476,0.000416476
2,1653.05,1.19191,0.87911,1.00866,0.83658,0.70782,0.74073,0.50557,1.45035,1.49569,1.01963,0.000830884,0.000830884,0.000830884
3,2470.85,1.20577,0.89899,1.01369,0.76588,0.73581,0.7859,0.53581,1.47317,1.0602,1.0227,0.00123629,0.00123629,0.00123629
4,3282.95,1.21292,0.90517,1.01955,0.69271,0.69319,0.7305,0.50015,1.47183,1.2851,1.02163,0.00121972,0.00121972,0.00121972
5,4092.04,1.20039,0.89942,1.01368,0.72311,0.69934,0.74253,0.51153,1.43329,1.08259,1.01563,0.00119651,0.00119651,0.00119651
6,4898.45,1.1856,0.88129,1.00852,0.74595,0.74577,0.75596,0.51094,1.475,1.00081,1.01797,0.0011671,0.0011671,0.0011671
7,5705.78,1.19324,0.88155,1.00954,0.85415,0.74855,0.81728,0.56607,1.46623,0.90267,1.022,0.00113183,0.00113183,0.00113183
8,6509.02,1.16209,0.85849,0.9977,0.81387,0.78041,0.79999,0.56539,1.44556,1.27008,1.0148,0.00109107,0.00109107,0.00109107
9,7309.64,1.15599,0.85303,0.99631,0.77412,0.80385,0.86402,0.58296,1.43306,1.03801,1.01124,0.00104527,0.00104527,0.00104527
10,8114.36,1.15076,0.84669,0.99386,0.8733,0.84802,0.89153,0.607,1.43202,0.86375,1.00851,0.000994942,0.000994942,0.000994942
11,8918.69,1.13893,0.83455,0.99199,0.8414,0.88197,0.90875,0.65812,1.41728,0.83199,1.00208,0.000940625,0.000940625,0.000940625
12,9726.45,1.12771,0.82794,0.98436,0.8591,0.86276,0.90812,0.63199,1.42284,0.90855,1.00473,0.000882918,0.000882918,0.000882918
13,10530.6,1.11384,0.81825,0.9807,0.88751,0.76009,0.81496,0.5772,1.42563,0.91358,1.00749,0.000822454,0.000822454,0.000822454
14,11333.3,1.10299,0.81098,0.97699,0.84752,0.75607,0.83303,0.5931,1.42054,0.86294,1.00561,0.000759895,0.000759895,0.000759895
15,12138.4,1.09811,0.80379,0.97374,0.89979,0.71871,0.85003,0.58591,1.41318,0.89013,1.00226,0.000695927,0.000695927,0.000695927
16,12943.6,1.08586,0.79377,0.96971,0.90342,0.76107,0.893,0.63062,1.41917,0.88443,1.01111,0.00063125,0.00063125,0.00063125
17,13748.8,1.06848,0.78228,0.96374,0.88589,0.80004,0.85054,0.61473,1.39622,0.86579,1.0018,0.000566573,0.000566573,0.000566573
18,14560.2,1.06164,0.772,0.96203,0.83995,0.79308,0.82221,0.59448,1.41831,0.86721,1.00529,0.000502605,0.000502605,0.000502605
19,15367.9,1.04946,0.76684,0.95653,0.91431,0.75902,0.83743,0.61351,1.39949,0.87744,0.99765,0.000440046,0.000440046,0.000440046
20,16174.9,1.04285,0.76168,0.95419,0.85061,0.83888,0.88965,0.65233,1.39907,0.87865,0.99907,0.000379582,0.000379582,0.000379582
21,17069.6,1.03128,0.75282,0.95114,0.88731,0.84701,0.87694,0.64662,1.41806,0.92391,1.00327,0.000321875,0.000321875,0.000321875
