epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,865.734,1.05863,0.78049,0.95831,0.89915,0.83166,0.86701,0.60969,1.41744,0.91113,1.0028,0.000416476,0.000416476,0.000416476
2,1678.92,1.11212,0.81677,0.97838,0.81675,0.91155,0.91803,0.6682,1.45971,0.92624,1.0145,0.000830884,0.000830884,0.000830884
3,2486.28,1.13871,0.84736,0.98803,0.9102,0.8316,0.92068,0.65057,1.45289,0.93584,1.01711,0.00123629,0.00123629,0.00123629
4,3288.28,1.15572,0.85997,0.99641,0.83464,0.76999,0.83437,0.58212,1.47819,1.01717,1.02415,0.00121972,0.00121972,0.00121972
5,4093.21,1.14787,0.85399,0.99364,0.80863,0.76782,0.84655,0.59883,1.4712,0.96144,1.02827,0.00119651,0.00119651,0.00119651
6,4896.56,1.14104,0.84058,0.99164,0.87835,0.84605,0.89967,0.6264,1.46473,0.88577,1.01686,0.0011671,0.0011671,0.0011671
7,5701.75,1.14559,0.8415,0.99104,0.9154,0.79036,0.90006,0.64871,1.45476,0.90003,1.01394,0.00113183,0.00113183,0.00113183
8,6503.67,1.118,0.82044,0.98062,0.82486,0.80691,0.90152,0.63203,1.45513,1.00388,1.01792,0.00109107,0.00109107,0.00109107
9,7306.76,1.11277,0.81768,0.97874,0.81792,0.7401,0.83606,0.5904,1.45068,0.96431,1.00986,0.00104527,0.00104527,0.00104527
10,8109.52,1.10694,0.81228,0.97647,0.8203,0.76098,0.86808,0.60428,1.49025,1.02503,1.02783,0.000994942,0.000994942,0.000994942
11,8911.07,1.09529,0.80204,0.97477,0.902,0.84499,0.90494,0.63547,1.434,0.90964,1.01208,0.000940625,0.000940625,0.000940625
12,9712.86,1.08404,0.79331,0.96728,0.82538,0.85866,0.91485,0.64616,1.4513,0.95676,1.01036,0.000882918,0.000882918,0.000882918
