epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,859.382,1.05308,0.53974,0.95523,0.85235,0.73711,0.84656,0.60665,1.35956,1.0734,0.93998,0.000416476,0.000416476,0.000416476
2,1716.77,1.09987,0.57658,0.97305,0.92734,0.7207,0.81438,0.57594,1.34698,1.4243,0.92959,0.000830884,0.000830884,0.000830884
3,2506.91,1.1286,0.60702,0.98521,0.91367,0.73732,0.80623,0.56935,1.34014,1.67325,0.93226,0.00123629,0.00123629,0.00123629
4,3295.13,1.14362,0.62105,0.99082,0.90234,0.74487,0.85155,0.60906,1.3383,1.49685,0.93042,0.00121972,0.00121972,0.00121972
5,4084,1.13737,0.6155,0.98945,0.84104,0.70893,0.82054,0.5837,1.31462,1.30165,0.90994,0.00119651,0.00119651,0.00119651
6,4869.69,1.1267,0.60308,0.98168,0.75908,0.86677,0.88923,0.59492,1.3633,1.18151,0.94083,0.0011671,0.0011671,0.0011671
7,5657.37,1.11506,0.59513,0.97926,0.82617,0.78956,0.8446,0.58954,1.33408,1.19067,0.92419,0.00113183,0.00113183,0.00113183
8,6441.88,1.11127,0.59197,0.97905,0.92616,0.64384,0.78712,0.55075,1.32755,1.43034,0.93735,0.00109107,0.00109107,0.00109107
9,7227.42,1.0986,0.58124,0.97337,0.77169,0.7729,0.8213,0.59509,1.34734,1.07892,0.92229,0.00104527,0.00104527,0.00104527
10,8014.77,1.08397,0.56638,0.96802,0.8366,0.76251,0.79297,0.56399,1.35167,1.09419,0.94149,0.000994942,0.000994942,0.000994942
11,8801.24,1.08055,0.56299,0.96874,0.83134,0.84535,0.89371,0.64513,1.34339,1.72837,0.94029,0.000940625,0.000940625,0.000940625
12,9587.25,1.07036,0.55731,0.96417,0.90789,0.86469,0.90669,0.66654,1.36066,1.05736,0.95184,0.000882918,0.000882918,0.000882918
13,10371.9,1.06578,0.55051,0.96226,0.81648,0.83871,0.81419,0.56481,1.33744,1.6248,0.93795,0.000822454,0.000822454,0.000822454
14,11156.4,1.05089,0.5393,0.95578,0.75818,0.8327,0.88753,0.64717,1.33483,1.23769,0.9267,0.000759895,0.000759895,0.000759895
15,11942.7,1.03384,0.52822,0.95107,0.8645,0.78212,0.86375,0.63528,1.33335,1.21226,0.93734,0.000695927,0.000695927,0.000695927
16,12728.5,1.03465,0.52407,0.94885,0.88205,0.75219,0.86056,0.62988,1.30915,1.17705,0.91839,0.00063125,0.00063125,0.00063125
17,13512.9,1.02243,0.51712,0.94524,0.84688,0.78012,0.88399,0.64621,1.32136,1.01789,0.93609,0.000566573,0.000566573,0.000566573
18,14297.8,1.01072,0.50954,0.94241,0.87544,0.77189,0.85903,0.62301,1.33883,1.26317,0.93025,0.000502605,0.000502605,0.000502605
19,15081.5,0.99655,0.50246,0.93831,0.82797,0.75158,0.84417,0.60835,1.33862,1.20873,0.93508,0.000440046,0.000440046,0.000440046
20,15866.9,0.98838,0.494,0.93521,0.81884,0.73123,0.78984,0.56505,1.32901,1.10422,0.93943,0.000379582,0.000379582,0.000379582
21,16653,0.97766,0.48723,0.93112,0.8054,0.7519,0.79341,0.57223,1.3252,1.22169,0.92836,0.000321875,0.000321875,0.000321875
22,17438.4,0.96763,0.48053,0.92866,0.7897,0.76844,0.85717,0.62833,1.34502,1.20242,0.94096,0.000267558,0.000267558,0.000267558
