run_id,scenario,data_version,seed,model,imgsz_train,imgsz_eval,epochs,batch,lr0,evaluation_set,mAP50,mAP50_95,precision,recall,AP_tasit,AP_insan,AP_UAP,AP_UAI,duration_min,weights_path
d1_v2_20260825,D1,v01_d1_sinif_yetersizligi,42,main_model.pt,768,768,11,8,0.001,val_diagnostic,0.9249600,0.6947089,0.9160378,0.8619409,0.8878973,0.8329722,0.9950000,0.9839706,88.4,experiments/run_20260825_223435_D1_42/weights/best.pt
d2a_20260820,D2a,v02_d2a_lokalizasyon_gurultusu,42,main_model.pt,768,768,12,12,0.001,val_diagnostic,0.8877029,0.6162383,0.8854154,0.8317076,0.8408802,0.8104584,0.9950000,0.9044731,,experiments/run_D2a_42/weights/best.pt
d2b_20260820_main,D2b,v03_d2b_eksik_etiket_local,42,main_model.pt,768,768,30,8,0.001,val_diagnostic,0.9069899,0.6550039,0.8088098,0.9022518,0.8343466,0.8197240,0.9950000,0.9788889,,experiments/run_D2b_42_local/weights/best.pt
d2b_20260820_final,D2b final_best,v03_d2b_eksik_etiket_final_best,42,final_best.pt,768,768,30,8,0.001,val_diagnostic,0.8992420,0.6491211,0.8323813,0.8723910,0.9156532,0.8348984,0.9950000,0.8514164,,experiments/run_D2b_42_final_best_local/weights/best.pt
d3_v2_20260826,D3,v04_d3_uap_uai_sinif_karisikligi,42,main_model.pt,768,768,24,8,0.001,val_diagnostic,0.8918506,0.6491547,0.7128620,0.8437980,0.9031055,0.8101602,0.9950000,0.8591368,337.4,experiments/run_20260826_001456_D3_42/weights/best.pt
v00_20260826,v00_saglikli,v00_saglikli,42,main_model.pt,768,768,11,8,0.001,val_diagnostic,0.9199649,0.6706607,0.9175451,0.8785459,0.8856465,0.8069910,0.9950000,0.9922222,136.8,experiments/run_20260826_081354_v00_42/weights/best.pt
d3b_20260826,D3b,v05_d3b_tasit_insan_karisikligi,42,main_model.pt,768,768,30,8,0.001,val_diagnostic,0.8938099,0.6748258,0.9272528,0.8290319,0.8453740,0.7898657,0.9950000,0.9450000,367.2,experiments/run_20260826_105547_D3b_42/weights/best.pt
d4_20260826,D4,v06_d4_kucuk_nesne_sinyal_kaybi,42,main_model.pt,768,768,11,8,0.001,val_diagnostic,0.8975405,0.6701034,0.8533346,0.8436181,0.8863766,0.7388288,0.9950000,0.9699565,140.4,experiments/run_20260826_171939_D4_42/weights/best.pt
d5_20260826,D5,v07_d5_kaynak_alani_kaymasi,42,main_model.pt,768,768,11,8,0.001,val_diagnostic,0.9092375,0.6750564,0.8812842,0.8300818,0.8730185,0.8216270,0.9950000,0.9473043,90.6,experiments/run_20260826_195557_D5_42/weights/best.pt
d6b_20260828,D6b,v09_d6b_tekrar_agirligi,42,main_model.pt,768,768,11,8,0.001,val_diagnostic,0.9232582,0.6806354,0.9168670,0.8773380,0.8838289,0.8333707,0.9950000,0.9808333,189.0,experiments/run_20260827_210352_D6b_42/weights/best.pt
d6a_20260827,D6a,v08_d6a_split_sizintisi,42,main_model.pt,768,768,11,8,0.001,v08_sizintili_kume,0.9285079,0.6993740,0.9210375,0.8845829,0.9112808,0.8215435,0.9950000,0.9862074,0,experiments/run_20260826_081354_v00_42/weights/best.pt
v00n_20260828,v00n,v00_saglikli,42,yolo26n.pt,768,768,23,8,0.001,val_diagnostic,0.8126227,0.5311679,0.8368097,0.6934565,0.8554775,0.8202369,0.9868750,0.5879013,250.8,experiments/run_20260828_002130_v00n_42/weights/best.pt
d1n_20260828,D1n,v01_d1_sinif_yetersizligi,42,yolo26n.pt,768,768,23,8,0.001,val_diagnostic,0.7387594,0.4987676,0.7183739,0.6969825,0.8393389,0.6481334,0.9733333,0.4942322,138.6,experiments/run_20260828_082145_D1n_42/weights/best.pt
e4_imgsz512_20260830,E4 imgsz512,v00_saglikli,42,main_model.pt,768,512,11,8,0.001,val_diagnostic,0.6020910,0.3953898,0.8780661,0.5177362,0.8059352,0.7530336,0.4943951,0.3550000,0,experiments/run_20260826_081354_v00_42/weights/best.pt
e2_20260830,E2,v00_saglikli,42,main_model.pt,768,768,5,8,0.001,val_diagnostic,0.9118344,0.6800244,0.9118254,0.8391380,0.8876649,0.8211012,0.9950000,0.9435714,58.3,experiments/run_20260830_221852_E2_42/weights/best.pt
e1_20260831,E1,v10_e1_overfitting_alt_kume,42,main_model.pt,768,768,200,8,0.001,val_diagnostic,0.9189594,0.6844237,0.8818006,0.8770585,0.8988660,0.7922346,0.9950000,0.9897368,229.8,experiments/run_20260831_211150_E1_42/weights/best.pt
e1_20260831_last,E1 last_pt,v10_e1_overfitting_alt_kume,42,main_model.pt,768,768,200,8,0.001,val_diagnostic,0.8318201,0.6029547,0.8456433,0.8094017,0.7951633,0.7281171,0.9950000,0.8090000,0,experiments/run_20260831_211150_E1_42/weights/last.pt
c2_seed7_20260901,C2 seed7,v00_saglikli,7,main_model.pt,768,768,19,8,0.001,val_diagnostic,0.9214392,0.6835990,0.8991690,0.8671342,0.8835234,0.8376501,0.9950000,0.9695833,236.0,experiments/run_20260901_011313_C2_7/weights/best.pt
